season,school,total_athletic_revenue,total_athletic_expenses,football_spending,football_coaching_salaries,donor_contributions,source,school_key
2025,Alabama,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,alabama
2025,Georgia,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,georgia
2025,Ohio State,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,ohiostate
2025,Texas,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,texas
2025,Oregon,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,oregon
2025,Michigan,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,michigan
2025,LSU,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,lsu
2025,USC,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,usc
2025,Miami,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,miami
2025,Tennessee,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,tennessee
2025,Texas A&M,NA,NA,NA,NA,NA,Manual Knight-Newhouse/EADA download,texasaandm
