player,position,school_guess,school_manual
Arch Manning,QB,Texas,Texas
Jeremiah Smith,WR,Ohio State,Ohio State
Sam Leavitt,QB,LSU,LSU
Brendan Sorsby,QB,Texas Tech,Texas Tech
Dante Moore,QB,Oregon,Oregon
Bryce Underwood,QB,Michigan,Michigan
Cam Coleman,WR,Texas,Texas
LaNorris Sellers,QB,South Carolina,South Carolina
Dylan Stewart,EDGE,South Carolina,South Carolina
Drew Mestemaker,QB,Oklahoma State,Oklahoma State
Mason Heintschel,QB,Pittsburgh,Pittsburgh
Julian Sayin,QB,Ohio State,Ohio State
Josh Hoover,QB,Indiana,Indiana
Darian Mensah,QB,Miami,Miami
Jayden Maiava,QB,USC,USC
Jaron-Keawe Sagapolutele,QB,California,California
John Mateer,QB,Oklahoma,Oklahoma
CJ Bailey,QB,NC State,NC State
David Stone,DL,Oklahoma,Oklahoma
Malik Washington,QB,Maryland,Maryland
DJ Lagway,QB,Florida,Florida
Jackson Cantwell,OT,Miami,Miami
Jordan Seaton,OT,LSU,LSU
Jared Curtis,QB,Vanderbilt,Vanderbilt
Ryan Coleman-Williams,WR,Alabama,Alabama
Trinidad Chambliss,QB,Ole Miss,Ole Miss
Byrum Brown,QB,Auburn,Auburn
